Candidate,Votes,County,race
XOCHITL TORRES SMALL,6033,Chaves,United States Representative - DISTRICT 2
YVETTE HERRELL,10488,Chaves,United States Representative - DISTRICT 2
Total Votes,16521,Chaves,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,4323,Cibola,United States Representative - DISTRICT 2
YVETTE HERRELL,2618,Cibola,United States Representative - DISTRICT 2
Total Votes,6941,Cibola,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,292,De Baca,United States Representative - DISTRICT 2
YVETTE HERRELL,500,De Baca,United States Representative - DISTRICT 2
Total Votes,792,De Baca,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,38382,Dona Ana,United States Representative - DISTRICT 2
YVETTE HERRELL,21324,Dona Ana,United States Representative - DISTRICT 2
Total Votes,59706,Dona Ana,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,5198,Eddy,United States Representative - DISTRICT 2
YVETTE HERRELL,10413,Eddy,United States Representative - DISTRICT 2
Total Votes,15611,Eddy,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,7176,Grant,United States Representative - DISTRICT 2
YVETTE HERRELL,4530,Grant,United States Representative - DISTRICT 2
Total Votes,11706,Grant,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,1162,Guadalupe,United States Representative - DISTRICT 2
YVETTE HERRELL,505,Guadalupe,United States Representative - DISTRICT 2
Total Votes,1667,Guadalupe,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,816,Hidalgo,United States Representative - DISTRICT 2
YVETTE HERRELL,760,Hidalgo,United States Representative - DISTRICT 2
Total Votes,1576,Hidalgo,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,3910,Lea,United States Representative - DISTRICT 2
YVETTE HERRELL,9842,Lea,United States Representative - DISTRICT 2
Total Votes,13752,Lea,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,2812,Lincoln,United States Representative - DISTRICT 2
YVETTE HERRELL,4953,Lincoln,United States Representative - DISTRICT 2
Total Votes,7765,Lincoln,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,3198,Luna,United States Representative - DISTRICT 2
YVETTE HERRELL,2890,Luna,United States Representative - DISTRICT 2
Total Votes,6088,Luna,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,1299,McKinley,United States Representative - DISTRICT 2
YVETTE HERRELL,294,McKinley,United States Representative - DISTRICT 2
Total Votes,1593,McKinley,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,6873,Otero,United States Representative - DISTRICT 2
YVETTE HERRELL,10176,Otero,United States Representative - DISTRICT 2
Total Votes,17049,Otero,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,560,Roosevelt,United States Representative - DISTRICT 2
YVETTE HERRELL,1561,Roosevelt,United States Representative - DISTRICT 2
Total Votes,2121,Roosevelt,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,2052,Sierra,United States Representative - DISTRICT 2
YVETTE HERRELL,2611,Sierra,United States Representative - DISTRICT 2
Total Votes,4663,Sierra,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,3879,Socorro,United States Representative - DISTRICT 2
YVETTE HERRELL,2324,Socorro,United States Representative - DISTRICT 2
Total Votes,6203,Socorro,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,10588,Valencia,United States Representative - DISTRICT 2
YVETTE HERRELL,9618,Valencia,United States Representative - DISTRICT 2
Total Votes,20206,Valencia,United States Representative - DISTRICT 2
BEN R LUJAN,5722,Bernalillo,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,660,Bernalillo,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,4192,Bernalillo,United States Representative - DISTRICT 3
Total Votes,10574,Bernalillo,United States Representative - DISTRICT 3
BEN R LUJAN,2474,Colfax,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,256,Colfax,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,1935,Colfax,United States Representative - DISTRICT 3
Total Votes,4665,Colfax,United States Representative - DISTRICT 3
BEN R LUJAN,3314,Curry,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,418,Curry,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,6412,Curry,United States Representative - DISTRICT 3
Total Votes,10144,Curry,United States Representative - DISTRICT 3
BEN R LUJAN,202,Harding,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,28,Harding,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,244,Harding,United States Representative - DISTRICT 3
Total Votes,474,Harding,United States Representative - DISTRICT 3
BEN R LUJAN,6157,Los Alamos,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,917,Los Alamos,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,3073,Los Alamos,United States Representative - DISTRICT 3
Total Votes,10147,Los Alamos,United States Representative - DISTRICT 3
BEN R LUJAN,12461,McKinley,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,869,McKinley,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,3003,McKinley,United States Representative - DISTRICT 3
Total Votes,16333,McKinley,United States Representative - DISTRICT 3
BEN R LUJAN,1788,Mora,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,72,Mora,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,464,Mora,United States Representative - DISTRICT 3
Total Votes,2324,Mora,United States Representative - DISTRICT 3
BEN R LUJAN,1300,Quay,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,137,Quay,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,1638,Quay,United States Representative - DISTRICT 3
Total Votes,3075,Quay,United States Representative - DISTRICT 3
BEN R LUJAN,9883,Rio Arriba,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,484,Rio Arriba,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,2315,Rio Arriba,United States Representative - DISTRICT 3
Total Votes,12682,Rio Arriba,United States Representative - DISTRICT 3
BEN R LUJAN,945,Roosevelt,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,142,Roosevelt,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,1388,Roosevelt,United States Representative - DISTRICT 3
Total Votes,2475,Roosevelt,United States Representative - DISTRICT 3
BEN R LUJAN,14137,San Juan,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,3273,San Juan,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,19731,San Juan,United States Representative - DISTRICT 3
Total Votes,37141,San Juan,United States Representative - DISTRICT 3
BEN R LUJAN,7379,San Miguel,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,279,San Miguel,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,1551,San Miguel,United States Representative - DISTRICT 3
Total Votes,9209,San Miguel,United States Representative - DISTRICT 3
BEN R LUJAN,24554,Sandoval,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,2611,Sandoval,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,17426,Sandoval,United States Representative - DISTRICT 3
Total Votes,44591,Sandoval,United States Representative - DISTRICT 3
BEN R LUJAN,51408,Santa Fe,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,2515,Santa Fe,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,9948,Santa Fe,United States Representative - DISTRICT 3
Total Votes,63871,Santa Fe,United States Representative - DISTRICT 3
BEN R LUJAN,12103,Taos,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,478,Taos,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,1888,Taos,United States Representative - DISTRICT 3
Total Votes,14469,Taos,United States Representative - DISTRICT 3
BEN R LUJAN,465,Union,United States Representative - DISTRICT 3
CHRISTOPHER MANNING,61,Union,United States Representative - DISTRICT 3
JERALD STEVE MCFALL,921,Union,United States Representative - DISTRICT 3
Total Votes,1447,Union,United States Representative - DISTRICT 3
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,147226,Bernalillo,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,90038,Bernalillo,Governor and Lieutenant Governor
Total Votes,237264,Bernalillo,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,511,Catron,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,1332,Catron,Governor and Lieutenant Governor
Total Votes,1843,Catron,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,5324,Chaves,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,11335,Chaves,Governor and Lieutenant Governor
Total Votes,16659,Chaves,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,3957,Cibola,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,3124,Cibola,Governor and Lieutenant Governor
Total Votes,7081,Cibola,Governor and Lieutenant Governor
MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,2327,Colfax,Governor and Lieutenant Governor
STEVE PEARCE AND MICHELLE GARCIA HOLMES,2335,Colfax,Governor and Lieutenant Governor
Total Votes,4662,Colfax,Governor and Lieutenant Governor
