Candidate,Votes,County,race
STEPHANIE GARCIA RICHARD,10670,Taos,Commissioner of Public Lands
MICHAEL G LUCERO,813,Taos,Commissioner of Public Lands
PATRICK H LYONS,2874,Taos,Commissioner of Public Lands
Total Votes,14357,Taos,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,1618,Torrance,Commissioner of Public Lands
MICHAEL G LUCERO,372,Torrance,Commissioner of Public Lands
PATRICK H LYONS,3319,Torrance,Commissioner of Public Lands
Total Votes,5309,Torrance,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,294,Union,Commissioner of Public Lands
MICHAEL G LUCERO,64,Union,Commissioner of Public Lands
PATRICK H LYONS,1091,Union,Commissioner of Public Lands
Total Votes,1449,Union,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,9278,Valencia,Commissioner of Public Lands
MICHAEL G LUCERO,1491,Valencia,Commissioner of Public Lands
PATRICK H LYONS,11542,Valencia,Commissioner of Public Lands
Total Votes,22311,Valencia,Commissioner of Public Lands
MICHAEL E VIGIL,146266,Bernalillo,Justice of the Supreme Court
GARY L CLINGMAN,85793,Bernalillo,Justice of the Supreme Court
Total Votes,232059,Bernalillo,Justice of the Supreme Court
MICHAEL E VIGIL,557,Catron,Justice of the Supreme Court
GARY L CLINGMAN,1240,Catron,Justice of the Supreme Court
Total Votes,1797,Catron,Justice of the Supreme Court
MICHAEL E VIGIL,5762,Chaves,Justice of the Supreme Court
GARY L CLINGMAN,10683,Chaves,Justice of the Supreme Court
Total Votes,16445,Chaves,Justice of the Supreme Court
MICHAEL E VIGIL,4441,Cibola,Justice of the Supreme Court
GARY L CLINGMAN,2434,Cibola,Justice of the Supreme Court
Total Votes,6875,Cibola,Justice of the Supreme Court
MICHAEL E VIGIL,2410,Colfax,Justice of the Supreme Court
GARY L CLINGMAN,2161,Colfax,Justice of the Supreme Court
Total Votes,4571,Colfax,Justice of the Supreme Court
MICHAEL E VIGIL,3132,Curry,Justice of the Supreme Court
GARY L CLINGMAN,6915,Curry,Justice of the Supreme Court
Total Votes,10047,Curry,Justice of the Supreme Court
MICHAEL E VIGIL,276,De Baca,Justice of the Supreme Court
GARY L CLINGMAN,486,De Baca,Justice of the Supreme Court
Total Votes,762,De Baca,Justice of the Supreme Court
MICHAEL E VIGIL,36421,Dona Ana,Justice of the Supreme Court
GARY L CLINGMAN,22565,Dona Ana,Justice of the Supreme Court
Total Votes,58986,Dona Ana,Justice of the Supreme Court
MICHAEL E VIGIL,5110,Eddy,Justice of the Supreme Court
GARY L CLINGMAN,10414,Eddy,Justice of the Supreme Court
Total Votes,15524,Eddy,Justice of the Supreme Court
MICHAEL E VIGIL,7096,Grant,Justice of the Supreme Court
GARY L CLINGMAN,4474,Grant,Justice of the Supreme Court
Total Votes,11570,Grant,Justice of the Supreme Court
MICHAEL E VIGIL,1209,Guadalupe,Justice of the Supreme Court
GARY L CLINGMAN,411,Guadalupe,Justice of the Supreme Court
Total Votes,1620,Guadalupe,Justice of the Supreme Court
MICHAEL E VIGIL,200,Harding,Justice of the Supreme Court
GARY L CLINGMAN,243,Harding,Justice of the Supreme Court
Total Votes,443,Harding,Justice of the Supreme Court
MICHAEL E VIGIL,807,Hidalgo,Justice of the Supreme Court
GARY L CLINGMAN,727,Hidalgo,Justice of the Supreme Court
Total Votes,1534,Hidalgo,Justice of the Supreme Court
MICHAEL E VIGIL,3035,Lea,Justice of the Supreme Court
GARY L CLINGMAN,10711,Lea,Justice of the Supreme Court
Total Votes,13746,Lea,Justice of the Supreme Court
MICHAEL E VIGIL,2677,Lincoln,Justice of the Supreme Court
GARY L CLINGMAN,5040,Lincoln,Justice of the Supreme Court
Total Votes,7717,Lincoln,Justice of the Supreme Court
MICHAEL E VIGIL,5923,Los Alamos,Justice of the Supreme Court
GARY L CLINGMAN,3888,Los Alamos,Justice of the Supreme Court
Total Votes,9811,Los Alamos,Justice of the Supreme Court
MICHAEL E VIGIL,3153,Luna,Justice of the Supreme Court
GARY L CLINGMAN,2860,Luna,Justice of the Supreme Court
Total Votes,6013,Luna,Justice of the Supreme Court
MICHAEL E VIGIL,12888,McKinley,Justice of the Supreme Court
GARY L CLINGMAN,4301,McKinley,Justice of the Supreme Court
Total Votes,17189,McKinley,Justice of the Supreme Court
MICHAEL E VIGIL,1727,Mora,Justice of the Supreme Court
GARY L CLINGMAN,515,Mora,Justice of the Supreme Court
Total Votes,2242,Mora,Justice of the Supreme Court
MICHAEL E VIGIL,6606,Otero,Justice of the Supreme Court
GARY L CLINGMAN,10215,Otero,Justice of the Supreme Court
Total Votes,16821,Otero,Justice of the Supreme Court
MICHAEL E VIGIL,1185,Quay,Justice of the Supreme Court
GARY L CLINGMAN,1820,Quay,Justice of the Supreme Court
Total Votes,3005,Quay,Justice of the Supreme Court
MICHAEL E VIGIL,10024,Rio Arriba,Justice of the Supreme Court
GARY L CLINGMAN,2439,Rio Arriba,Justice of the Supreme Court
Total Votes,12463,Rio Arriba,Justice of the Supreme Court
MICHAEL E VIGIL,1458,Roosevelt,Justice of the Supreme Court
GARY L CLINGMAN,3108,Roosevelt,Justice of the Supreme Court
Total Votes,4566,Roosevelt,Justice of the Supreme Court
MICHAEL E VIGIL,13930,San Juan,Justice of the Supreme Court
GARY L CLINGMAN,22599,San Juan,Justice of the Supreme Court
Total Votes,36529,San Juan,Justice of the Supreme Court
MICHAEL E VIGIL,7279,San Miguel,Justice of the Supreme Court
GARY L CLINGMAN,1779,San Miguel,Justice of the Supreme Court
Total Votes,9058,San Miguel,Justice of the Supreme Court
MICHAEL E VIGIL,30383,Sandoval,Justice of the Supreme Court
GARY L CLINGMAN,23652,Sandoval,Justice of the Supreme Court
Total Votes,54035,Sandoval,Justice of the Supreme Court
MICHAEL E VIGIL,52880,Santa Fe,Justice of the Supreme Court
GARY L CLINGMAN,12588,Santa Fe,Justice of the Supreme Court
Total Votes,65468,Santa Fe,Justice of the Supreme Court
MICHAEL E VIGIL,1979,Sierra,Justice of the Supreme Court
GARY L CLINGMAN,2628,Sierra,Justice of the Supreme Court
Total Votes,4607,Sierra,Justice of the Supreme Court
MICHAEL E VIGIL,3710,Socorro,Justice of the Supreme Court
GARY L CLINGMAN,2341,Socorro,Justice of the Supreme Court
Total Votes,6051,Socorro,Justice of the Supreme Court
MICHAEL E VIGIL,11928,Taos,Justice of the Supreme Court
GARY L CLINGMAN,2245,Taos,Justice of the Supreme Court
Total Votes,14173,Taos,Justice of the Supreme Court
MICHAEL E VIGIL,2146,Torrance,Justice of the Supreme Court
GARY L CLINGMAN,3089,Torrance,Justice of the Supreme Court
Total Votes,5235,Torrance,Justice of the Supreme Court
MICHAEL E VIGIL,410,Union,Justice of the Supreme Court
GARY L CLINGMAN,1000,Union,Justice of the Supreme Court
Total Votes,1410,Union,Justice of the Supreme Court
MICHAEL E VIGIL,11435,Valencia,Justice of the Supreme Court
GARY L CLINGMAN,10658,Valencia,Justice of the Supreme Court
Total Votes,22093,Valencia,Justice of the Supreme Court
KRISTINA BOGARDUS,133802,Bernalillo,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,96926,Bernalillo,Judge of the Court of Appeals Position 1
Total Votes,230728,Bernalillo,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,488,Catron,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,1293,Catron,Judge of the Court of Appeals Position 1
Total Votes,1781,Catron,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,5160,Chaves,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,11239,Chaves,Judge of the Court of Appeals Position 1
Total Votes,16399,Chaves,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,3994,Cibola,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,2859,Cibola,Judge of the Court of Appeals Position 1
Total Votes,6853,Cibola,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,2172,Colfax,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,2386,Colfax,Judge of the Court of Appeals Position 1
Total Votes,4558,Colfax,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,2977,Curry,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,7036,Curry,Judge of the Court of Appeals Position 1
Total Votes,10013,Curry,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,234,De Baca,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,520,De Baca,Judge of the Court of Appeals Position 1
Total Votes,754,De Baca,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,34763,Dona Ana,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,23991,Dona Ana,Judge of the Court of Appeals Position 1
Total Votes,58754,Dona Ana,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,4706,Eddy,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,10756,Eddy,Judge of the Court of Appeals Position 1
Total Votes,15462,Eddy,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,6693,Grant,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,4800,Grant,Judge of the Court of Appeals Position 1
Total Votes,11493,Grant,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1046,Guadalupe,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,546,Guadalupe,Judge of the Court of Appeals Position 1
Total Votes,1592,Guadalupe,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,158,Harding,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,284,Harding,Judge of the Court of Appeals Position 1
Total Votes,442,Harding,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,755,Hidalgo,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,772,Hidalgo,Judge of the Court of Appeals Position 1
Total Votes,1527,Hidalgo,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,3338,Lea,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,10271,Lea,Judge of the Court of Appeals Position 1
Total Votes,13609,Lea,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,2392,Lincoln,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,5299,Lincoln,Judge of the Court of Appeals Position 1
Total Votes,7691,Lincoln,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,5204,Los Alamos,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,4480,Los Alamos,Judge of the Court of Appeals Position 1
Total Votes,9684,Los Alamos,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,2854,Luna,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,3150,Luna,Judge of the Court of Appeals Position 1
Total Votes,6004,Luna,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,11941,McKinley,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,5173,McKinley,Judge of the Court of Appeals Position 1
Total Votes,17114,McKinley,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1536,Mora,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,664,Mora,Judge of the Court of Appeals Position 1
Total Votes,2200,Mora,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,6091,Otero,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,10694,Otero,Judge of the Court of Appeals Position 1
Total Votes,16785,Otero,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1076,Quay,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,1911,Quay,Judge of the Court of Appeals Position 1
Total Votes,2987,Quay,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,8670,Rio Arriba,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,3576,Rio Arriba,Judge of the Court of Appeals Position 1
Total Votes,12246,Rio Arriba,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1377,Roosevelt,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,3179,Roosevelt,Judge of the Court of Appeals Position 1
Total Votes,4556,Roosevelt,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,12679,San Juan,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,23762,San Juan,Judge of the Court of Appeals Position 1
Total Votes,36441,San Juan,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,6606,San Miguel,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,2381,San Miguel,Judge of the Court of Appeals Position 1
Total Votes,8987,San Miguel,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,27983,Sandoval,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,25733,Sandoval,Judge of the Court of Appeals Position 1
Total Votes,53716,Sandoval,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,48290,Santa Fe,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,16869,Santa Fe,Judge of the Court of Appeals Position 1
Total Votes,65159,Santa Fe,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1831,Sierra,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,2780,Sierra,Judge of the Court of Appeals Position 1
Total Votes,4611,Sierra,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,3331,Socorro,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,2674,Socorro,Judge of the Court of Appeals Position 1
Total Votes,6005,Socorro,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,10905,Taos,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,3182,Taos,Judge of the Court of Appeals Position 1
Total Votes,14087,Taos,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,1873,Torrance,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,3355,Torrance,Judge of the Court of Appeals Position 1
Total Votes,5228,Torrance,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,375,Union,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,1029,Union,Judge of the Court of Appeals Position 1
Total Votes,1404,Union,Judge of the Court of Appeals Position 1
KRISTINA BOGARDUS,10285,Valencia,Judge of the Court of Appeals Position 1
STEPHEN G FRENCH,11742,Valencia,Judge of the Court of Appeals Position 1
Total Votes,22027,Valencia,Judge of the Court of Appeals Position 1
JACQUELINE R MEDINA,140219,Bernalillo,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,89728,Bernalillo,Judge of the Court of Appeals Position 2
Total Votes,229947,Bernalillo,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,524,Catron,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,1254,Catron,Judge of the Court of Appeals Position 2
Total Votes,1778,Catron,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,5526,Chaves,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,10845,Chaves,Judge of the Court of Appeals Position 2
Total Votes,16371,Chaves,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,4280,Cibola,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2546,Cibola,Judge of the Court of Appeals Position 2
Total Votes,6826,Cibola,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,2318,Colfax,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2239,Colfax,Judge of the Court of Appeals Position 2
Total Votes,4557,Colfax,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,3088,Curry,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,6908,Curry,Judge of the Court of Appeals Position 2
Total Votes,9996,Curry,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,262,De Baca,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,490,De Baca,Judge of the Court of Appeals Position 2
Total Votes,752,De Baca,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,36218,Dona Ana,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,22471,Dona Ana,Judge of the Court of Appeals Position 2
Total Votes,58689,Dona Ana,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,5003,Eddy,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,10451,Eddy,Judge of the Court of Appeals Position 2
Total Votes,15454,Eddy,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,6931,Grant,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,4545,Grant,Judge of the Court of Appeals Position 2
Total Votes,11476,Grant,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1168,Guadalupe,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,421,Guadalupe,Judge of the Court of Appeals Position 2
Total Votes,1589,Guadalupe,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,187,Harding,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,250,Harding,Judge of the Court of Appeals Position 2
Total Votes,437,Harding,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,789,Hidalgo,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,733,Hidalgo,Judge of the Court of Appeals Position 2
Total Votes,1522,Hidalgo,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,3688,Lea,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,9909,Lea,Judge of the Court of Appeals Position 2
Total Votes,13597,Lea,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,2580,Lincoln,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,5109,Lincoln,Judge of the Court of Appeals Position 2
Total Votes,7689,Lincoln,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,5521,Los Alamos,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,4125,Los Alamos,Judge of the Court of Appeals Position 2
Total Votes,9646,Los Alamos,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,3040,Luna,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2947,Luna,Judge of the Court of Appeals Position 2
Total Votes,5987,Luna,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,12604,McKinley,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,4459,McKinley,Judge of the Court of Appeals Position 2
Total Votes,17063,McKinley,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1718,Mora,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,495,Mora,Judge of the Court of Appeals Position 2
Total Votes,2213,Mora,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,6381,Otero,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,10352,Otero,Judge of the Court of Appeals Position 2
Total Votes,16733,Otero,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1151,Quay,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,1840,Quay,Judge of the Court of Appeals Position 2
Total Votes,2991,Quay,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,9638,Rio Arriba,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2611,Rio Arriba,Judge of the Court of Appeals Position 2
Total Votes,12249,Rio Arriba,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1419,Roosevelt,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,3125,Roosevelt,Judge of the Court of Appeals Position 2
Total Votes,4544,Roosevelt,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,13488,San Juan,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,22866,San Juan,Judge of the Court of Appeals Position 2
Total Votes,36354,San Juan,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,7198,San Miguel,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,1836,San Miguel,Judge of the Court of Appeals Position 2
Total Votes,9034,San Miguel,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,29383,Sandoval,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,24243,Sandoval,Judge of the Court of Appeals Position 2
Total Votes,53626,Sandoval,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,51078,Santa Fe,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,13966,Santa Fe,Judge of the Court of Appeals Position 2
Total Votes,65044,Santa Fe,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,1912,Sierra,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2661,Sierra,Judge of the Court of Appeals Position 2
Total Votes,4573,Sierra,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,3586,Socorro,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2399,Socorro,Judge of the Court of Appeals Position 2
Total Votes,5985,Socorro,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,12097,Taos,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,2119,Taos,Judge of the Court of Appeals Position 2
Total Votes,14216,Taos,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,2025,Torrance,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,3200,Torrance,Judge of the Court of Appeals Position 2
Total Votes,5225,Torrance,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,410,Union,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,992,Union,Judge of the Court of Appeals Position 2
Total Votes,1402,Union,Judge of the Court of Appeals Position 2
JACQUELINE R MEDINA,11018,Valencia,Judge of the Court of Appeals Position 2
HANK BOHNHOFF,10991,Valencia,Judge of the Court of Appeals Position 2
Total Votes,22009,Valencia,Judge of the Court of Appeals Position 2
BRIANA H ZAMORA,141580,Bernalillo,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,87988,Bernalillo,Judge of the Court of Appeals Position 3
Total Votes,229568,Bernalillo,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,495,Catron,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1303,Catron,Judge of the Court of Appeals Position 3
Total Votes,1798,Catron,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,5518,Chaves,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10850,Chaves,Judge of the Court of Appeals Position 3
Total Votes,16368,Chaves,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,4263,Cibola,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2581,Cibola,Judge of the Court of Appeals Position 3
Total Votes,6844,Cibola,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2293,Colfax,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2253,Colfax,Judge of the Court of Appeals Position 3
Total Votes,4546,Colfax,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3177,Curry,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,6824,Curry,Judge of the Court of Appeals Position 3
Total Votes,10001,Curry,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,258,De Baca,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,499,De Baca,Judge of the Court of Appeals Position 3
Total Votes,757,De Baca,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,35798,Dona Ana,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,22885,Dona Ana,Judge of the Court of Appeals Position 3
Total Votes,58683,Dona Ana,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,4909,Eddy,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10504,Eddy,Judge of the Court of Appeals Position 3
Total Votes,15413,Eddy,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,6827,Grant,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4664,Grant,Judge of the Court of Appeals Position 3
Total Votes,11491,Grant,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1165,Guadalupe,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,433,Guadalupe,Judge of the Court of Appeals Position 3
Total Votes,1598,Guadalupe,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,176,Harding,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,267,Harding,Judge of the Court of Appeals Position 3
Total Votes,443,Harding,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,792,Hidalgo,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,731,Hidalgo,Judge of the Court of Appeals Position 3
Total Votes,1523,Hidalgo,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3682,Lea,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,9903,Lea,Judge of the Court of Appeals Position 3
Total Votes,13585,Lea,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2561,Lincoln,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,5126,Lincoln,Judge of the Court of Appeals Position 3
Total Votes,7687,Lincoln,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,5508,Los Alamos,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4112,Los Alamos,Judge of the Court of Appeals Position 3
Total Votes,9620,Los Alamos,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2988,Luna,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2990,Luna,Judge of the Court of Appeals Position 3
Total Votes,5978,Luna,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,12402,McKinley,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,4608,McKinley,Judge of the Court of Appeals Position 3
Total Votes,17010,McKinley,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1683,Mora,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,543,Mora,Judge of the Court of Appeals Position 3
Total Votes,2226,Mora,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,6407,Otero,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,10335,Otero,Judge of the Court of Appeals Position 3
Total Votes,16742,Otero,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1169,Quay,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1817,Quay,Judge of the Court of Appeals Position 3
Total Votes,2986,Quay,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,9446,Rio Arriba,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2777,Rio Arriba,Judge of the Court of Appeals Position 3
Total Votes,12223,Rio Arriba,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1439,Roosevelt,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,3113,Roosevelt,Judge of the Court of Appeals Position 3
Total Votes,4552,Roosevelt,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,13523,San Juan,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,22780,San Juan,Judge of the Court of Appeals Position 3
Total Votes,36303,San Juan,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,7047,San Miguel,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,1972,San Miguel,Judge of the Court of Appeals Position 3
Total Votes,9019,San Miguel,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,29440,Sandoval,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,24143,Sandoval,Judge of the Court of Appeals Position 3
Total Votes,53583,Sandoval,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,51318,Santa Fe,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,13693,Santa Fe,Judge of the Court of Appeals Position 3
Total Votes,65011,Santa Fe,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,1887,Sierra,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2702,Sierra,Judge of the Court of Appeals Position 3
Total Votes,4589,Sierra,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,3533,Socorro,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2471,Socorro,Judge of the Court of Appeals Position 3
Total Votes,6004,Socorro,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,11661,Taos,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,2431,Taos,Judge of the Court of Appeals Position 3
Total Votes,14092,Taos,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,2088,Torrance,Judge of the Court of Appeals Position 3
EMIL J KIEHNE,3142,Torrance,Judge of the Court of Appeals Position 3
Total Votes,5230,Torrance,Judge of the Court of Appeals Position 3
BRIANA H ZAMORA,407,Union,Judge of the Court of Appeals Position 3
