county,race,candidate,votes
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","GUMINA, TONY",1551
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",114348
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",83427
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",2605
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",2282
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",1830
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",1650
Clark,GOVERNOR,"SISOLAK, STEVE",352715
Clark,GOVERNOR,"LAXALT, ADAM PAUL",266173
Clark,GOVERNOR,NONE OF THESE CANDIDATES,12711
Clark,GOVERNOR,"BUNDY, RYAN",8090
Clark,GOVERNOR,"BEST, RUSSELL",6462
Clark,GOVERNOR,"LORD, JARED",5604
Clark,LIEUTENANT GOVERNOR,"MARSHALL, KATE",350841
Clark,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",260402
Clark,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,16103
Clark,LIEUTENANT GOVERNOR,"HANSEN, JANINE",13362
Clark,LIEUTENANT GOVERNOR,"UEHLING, ED",6990
Clark,SECRETARY OF STATE,"ARAUJO, NELSON",334708
Clark,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",285567
Clark,SECRETARY OF STATE,NONE OF THESE CANDIDATES,18277
Clark,STATE TREASURER,"CONINE, ZACH",337599
Clark,STATE TREASURER,"BEERS, BOB",277683
Clark,STATE TREASURER,NONE OF THESE CANDIDATES,17473
Clark,STATE TREASURER,"HOGE, BILL",13936
Clark,STATE CONTROLLER,"BYRNE, CATHERINE",356884
Clark,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",268717
Clark,STATE CONTROLLER,NONE OF THESE CANDIDATES,19805
Clark,ATTORNEY GENERAL,"FORD, AARON",338273
Clark,ATTORNEY GENERAL,"DUNCAN, WES",274466
Clark,ATTORNEY GENERAL,"HANSEN, JOEL F.",18487
Clark,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,16310
Clark,"STATE SENATE, DISTRICT 2","DENIS, MO (INCUMBENT)",13713
Clark,"STATE SENATE, DISTRICT 2","BORDER, CALVIN ""CAL""",3536
Clark,"STATE SENATE, DISTRICT 8","LOOP, MARILYN DONDERO",25771
Clark,"STATE SENATE, DISTRICT 8","WEBER, VALERIE",24152
Clark,"STATE SENATE, DISTRICT 9","SCHEIBLE, MELANIE",30896
Clark,"STATE SENATE, DISTRICT 9","JONES, TIFFANY",24652
Clark,"STATE SENATE, DISTRICT 10","CANCELA, YVANNA",20377
Clark,"STATE SENATE, DISTRICT 12","HARDY, JOE (INCUMBENT)",37185
Clark,"STATE SENATE, DISTRICT 12","JORDAHL, CRAIG",23122
Clark,"STATE SENATE, DISTRICT 20","PICKARD, KEITH",27159
Clark,"STATE SENATE, DISTRICT 20","PAZINA, JULIE",27131
Clark,"STATE SENATE, DISTRICT 20","BRONSTEIN, RICHARD ""RICK""",1078
Clark,"STATE SENATE, DISTRICT 21","OHRENSCHALL, JAMES",22385
Clark,"STATE SENATE, DISTRICT 21","MCGINNIS, RON",13719
Clark,"STATE ASSEMBLY, DISTRICT 1","MONROE-MORENO, DANIELE",18954
Clark,"STATE ASSEMBLY, DISTRICT 2","HAMBRICK, JOHN (INCUMBENT)",14594
Clark,"STATE ASSEMBLY, DISTRICT 2","SHERWOOD, JENNIE",13541
Clark,"STATE ASSEMBLY, DISTRICT 3","TORRES, SELENA",10136
Clark,"STATE ASSEMBLY, DISTRICT 3","SEDLMEYER, STEPHEN G.",5110
Clark,"STATE ASSEMBLY, DISTRICT 4","MUNK, CONNIE",14525
Clark,"STATE ASSEMBLY, DISTRICT 4","MCARTHUR, RICHARD",14409
Clark,"STATE ASSEMBLY, DISTRICT 4","LYSTRUP, BOB",671
Clark,"STATE ASSEMBLY, DISTRICT 5","MILLER, BRITTNEY (INCUMBENT)",11933
Clark,"STATE ASSEMBLY, DISTRICT 5","BURKE, JASON",9446
Clark,"STATE ASSEMBLY, DISTRICT 6","MCCURDY, II, WILLIAM O'NEIL",10390
Clark,"STATE ASSEMBLY, DISTRICT 7","NEAL, DINA (INCUMBENT)",15031
Clark,"STATE ASSEMBLY, DISTRICT 8","FRIERSON, JASON (INCUMBENT)",11681
Clark,"STATE ASSEMBLY, DISTRICT 8","PEETRIS, TINA M.",7699
Clark,"STATE ASSEMBLY, DISTRICT 9","YEAGER, STEVE (INCUMBENT)",15482
Clark,"STATE ASSEMBLY, DISTRICT 9","CANNON, LINDA",11312
Clark,"STATE ASSEMBLY, DISTRICT 10","BROOKS, CHRIS (INCUMBENT)",9177
Clark,"STATE ASSEMBLY, DISTRICT 10","SEARLES, NOEL",4757
Clark,"STATE ASSEMBLY, DISTRICT 10","FRIEDRICH, JONATHAN",469
Clark,"STATE ASSEMBLY, DISTRICT 11","DIAZ, OLIVIA (INCUMBENT)",6756
Clark,"STATE ASSEMBLY, DISTRICT 11","MICELI, GIANNA",1556
Clark,"STATE ASSEMBLY, DISTRICT 12","MARTINEZ, SUSAN",12706
Clark,"STATE ASSEMBLY, DISTRICT 12","FLETCHER, RICHARD",10169
Clark,"STATE ASSEMBLY, DISTRICT 12","MARTINEZ, MARY ELIZABETH BOYER",736
Clark,"STATE ASSEMBLY, DISTRICT 13","ROBERTS, TOM",17008
Clark,"STATE ASSEMBLY, DISTRICT 13","FOSTER, LEONARD",9225
Clark,"STATE ASSEMBLY, DISTRICT 14","CARLTON, MAGGIE (INCUMBENT)",10363
Clark,"STATE ASSEMBLY, DISTRICT 15","WATTS, III, HOWARD",9345
Clark,"STATE ASSEMBLY, DISTRICT 15","VAUGHAN, STAN",4718
Clark,"STATE ASSEMBLY, DISTRICT 16","SWANK, HEIDI (INCUMBENT)",9101
Clark,"STATE ASSEMBLY, DISTRICT 17","THOMPSON, TYRONE (INCUMBENT)",13796
Clark,"STATE ASSEMBLY, DISTRICT 17","LITTLE, PATRICIA ""PAT""",6584
Clark,"STATE ASSEMBLY, DISTRICT 17","NEWSOME, RONALD",522
Clark,"STATE ASSEMBLY, DISTRICT 18","CARRILLO, RICHARD (INCUMBENT)",11369
Clark,"STATE ASSEMBLY, DISTRICT 18","SADLER, MATT",6037
Clark,"STATE ASSEMBLY, DISTRICT 19","EDWARDS, CHRIS (INCUMBENT)",18324
Clark,"STATE ASSEMBLY, DISTRICT 20","SPIEGEL, ELLEN (INCUMBENT)",12024
Clark,"STATE ASSEMBLY, DISTRICT 20","MCDONALD, MICHAEL L.",7343
Clark,"STATE ASSEMBLY, DISTRICT 21","FUMO, OZZIE (INCUMBENT)",12567
Clark,"STATE ASSEMBLY, DISTRICT 21","ARRINGTON, CHERLYN",9771
Clark,"STATE ASSEMBLY, DISTRICT 22","HARDY, MELISSA",17099
Clark,"STATE ASSEMBLY, DISTRICT 22","WATSON, KRISTEE",14366
Clark,"STATE ASSEMBLY, DISTRICT 23","LEAVITT, GLEN",24096
Clark,"STATE ASSEMBLY, DISTRICT 23","PRETA, RALPH",9639
Clark,"STATE ASSEMBLY, DISTRICT 28","FLORES, EDGAR (INCUMBENT)",7842
Clark,"STATE ASSEMBLY, DISTRICT 29","COHEN, LESLEY ELIZABETH (INCUMBENT)",13506
Clark,"STATE ASSEMBLY, DISTRICT 29","SILBERKRAUS, STEPHEN H.",12170
Clark,"STATE ASSEMBLY, DISTRICT 29","JAMES-NEWMAN, BRUCE",582
Clark,"STATE ASSEMBLY, DISTRICT 34","BILBRAY-AXELROD, SHANNON (INCUMBENT)",12875
Clark,"STATE ASSEMBLY, DISTRICT 34","WESEN, JANICE E.",8880
Clark,"STATE ASSEMBLY, DISTRICT 35","GORELOW, MICHELLE",14330
Clark,"STATE ASSEMBLY, DISTRICT 35","SCHOEN, DAVID",11482
Clark,"STATE ASSEMBLY, DISTRICT 35","HOFSTEIN, DANIEL",2905
Clark,"STATE ASSEMBLY, DISTRICT 36","HOF, DENNIS",5551
Clark,"STATE ASSEMBLY, DISTRICT 36","ROMANOV, LESIA",4921
Clark,"STATE ASSEMBLY, DISTRICT 37","BACKUS, SHEA",14218
Clark,"STATE ASSEMBLY, DISTRICT 37","MARCHANT, JIM",14085
Clark,"STATE ASSEMBLY, DISTRICT 41","JAUREGUI, SANDRA (INCUMBENT)",12931
Clark,"STATE ASSEMBLY, DISTRICT 41","WADE, PARIS",10810
Clark,"STATE ASSEMBLY, DISTRICT 42","ASSEFA, ALEXANDER",11090
Clark,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",260732
Clark,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",198708
Clark,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,137875
Clark,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",399062
Clark,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,176029
Clark,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",266260
Clark,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",179912
Clark,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,145329
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1","PERKINS, LAURA E.",33086
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 1","CATO, JO",20165
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12","CARVALHO, AMY",40392
Clark,"UNIVERSITY BOARD OF REGENTS, DISTRICT 12","COATES, ANDREW",25864
Clark,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 10","JONES, TIERRA",484976
Clark,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 18","HOLTHUS, MARY KAY",283241
Clark,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 18","BAILUS, MARK B.",231660
Clark,"DISTRICT COURT JUDGE, DISTRICT 8, DEPARTMENT 29","JONES, DAVID M. (INCUMBENT)",475644
Clark,DISTRICT ATTORNEY,"WOLFSON, STEVE (INCUMBENT)",492503
Clark,COUNTY ASSESSOR,"JOHNSON, BRIANA",361295
Clark,COUNTY ASSESSOR,"MCCLAIN, GINA",273970
Clark,PUBLIC ADMINISTRATOR,"TELLES, ROBERT",338362
Clark,PUBLIC ADMINISTRATOR,"FOUGERE, THOMAS L.",261388
Clark,PUBLIC ADMINISTRATOR,"DACOSTA, VICTORIA KAY",34009
Clark,COUNTY RECORDER,"CONWAY, DEBBIE",364456
Clark,COUNTY RECORDER,"MACFARLANE, JILL",270887
Clark,COUNTY COMMISSIONER DISTRICT E,"SEGERBLOM, ""TICK""",41370
Clark,COUNTY COMMISSIONER DISTRICT E,"MARSH, TRISH",24730
Clark,COUNTY COMMISSIONER DISTRICT F,"JONES, JUSTIN",55811
Clark,COUNTY COMMISSIONER DISTRICT F,"BLACK, TISHA",47473
Clark,COUNTY COMMISSIONER DISTRICT G,"GIBSON, JIM (INCUMBENT)",60901
Clark,COUNTY COMMISSIONER DISTRICT G,"LAKE, CINDY",45826
Clark,COUNTY COMMISSIONER DISTRICT G,"MARSH, DOUG",2616
Clark,COUNTY CLERK,"GOYA, LYNN MARIA (INCUMBENT)",363387
Clark,COUNTY CLERK,"LLOYD, MINDDIE",271587
Clark,COUNTY TREASURER,"FITZPATRICK, LAURA (INCUMBENT)",367636
Clark,COUNTY TREASURER,"COLLINS, PHIL",269248
Clark,"CONSTABLE, BOULDER TOWNSHIP","HAMPE, STEVE (INCUMBENT)",6386
Clark,"CONSTABLE, BUNKERVILLE TOWNSHIP","LAUB, ERIK L. (INCUMBENT)",337
Clark,"CONSTABLE, GOODSPRINGS TOWNSHIP","ROGERS, GARY P. (INCUMBENT)",646
Clark,"CONSTABLE, HENDERSON TOWNSHIP","TAYLOR, KENNY",64333
Clark,"CONSTABLE, HENDERSON TOWNSHIP","PITTS, JOE",54871
Clark,"CONSTABLE, LAUGHLIN TOWNSHIP","ROSS, JORDAN (INCUMBENT)",2330
Clark,"CONSTABLE, MESQUITE TOWNSHIP","THURSTON, DUANE L. (INCUMBENT)",6394
Clark,"CONSTABLE, MOAPA TOWNSHIP","JENSEN, JOSH",345
Clark,"CONSTABLE, MOAPA VALLEY TOWNSHIP","FREI, LEON S.",2538
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP","ELIASON, ROBERT L. (INCUMBENT)",44619
Clark,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP","VEGA, JIMMY",23181
Clark,"CONSTABLE, SEARCHLIGHT TOWNSHIP","COCHRAN, JACK ""FAT JACK"" (INCUMBENT)",230
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D","CEPEDA, IRENE",28197
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D","CHILD, KEVIN L. (INCUMBENT)",12657
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F","FORD, DANIELLE",51184
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F","MILLER, KALI FOX",33732
Clark,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G","CAVAZOS, LINDA (INCUMBENT)",44888
