county,race,candidate,votes
Lander,SECRETARY OF STATE,"ARAUJO, NELSON",393
Lander,SECRETARY OF STATE,NONE OF THESE CANDIDATES,112
Lander,STATE TREASURER,"BEERS, BOB",1561
Lander,STATE TREASURER,"CONINE, ZACH",347
Lander,STATE TREASURER,NONE OF THESE CANDIDATES,107
Lander,STATE TREASURER,"HOGE, BILL",72
Lander,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",1566
Lander,STATE CONTROLLER,"BYRNE, CATHERINE",407
Lander,STATE CONTROLLER,NONE OF THESE CANDIDATES,115
Lander,ATTORNEY GENERAL,"DUNCAN, WES",1528
Lander,ATTORNEY GENERAL,"FORD, AARON",345
Lander,ATTORNEY GENERAL,"HANSEN, JOEL F.",117
Lander,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,94
Lander,"STATE SENATE, DISTRICT 14","HANSEN, IRA",1672
Lander,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",394
Lander,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",1677
Lander,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",382
Lander,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",775
Lander,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",652
Lander,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,576
Lander,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1386
Lander,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,577
Lander,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",793
Lander,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",640
Lander,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,556
Lander,COUNTY ASSESSOR,"DUVALL, LURA (INCUMBENT)",1916
Lander,COUNTY CLERK,"SULLIVAN, SADIE (INCUMBENT)",1571
Lander,COUNTY CLERK,"MILLER, LEANN",499
Lander,COUNTY TREASURER,"JOHNSON, JUSDIVIA",1037
Lander,COUNTY TREASURER,"BISIAUX, TINA MARIE",1020
Lander,COUNTY RECORDER,"BUNCH, LESLEY L. (INCUMBENT)",1917
Lander,COUNTY COMMISSIONER DISTRICT 1,"SPARKS, BRYAN",1918
Lander,COUNTY COMMISSIONER DISTRICT 2,"CLARK, ART III (INCUMBENT)",1033
Lander,COUNTY COMMISSIONER DISTRICT 2,"DIMITROFF, HARRY L. SR.",1024
Lander,COUNTY COMMISSIONER DISTRICT 5,"ANCHO, KATHLEEN V.",1392
Lander,COUNTY COMMISSIONER DISTRICT 5,"MORENO, MANUEL II",667
Lander,DISTRICT ATTORNEY,"HERRERA, THEODORE C. (INCUMBENT)",1807
Lander,"JUSTICE OF THE PEACE, ARGENTA","FORTUNE, DENISE",1162
Lander,"JUSTICE OF THE PEACE, ARGENTA","MELVER, TOBY",678
Lander,"JUSTICE OF THE PEACE, AUSTIN","GANDOLFO, BILLY",181
Lincoln,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",1547
Lincoln,UNITED STATES SENATOR,"ROSEN, JACKY",283
Lincoln,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,62
Lincoln,UNITED STATES SENATOR,"MICHAELS, BARRY",27
Lincoln,UNITED STATES SENATOR,"HAGAN, TIM",21
Lincoln,UNITED STATES SENATOR,"BAKARI, KAMAU A.",10
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",1538
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",304
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",31
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",21
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",17
Lincoln,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",16
Lincoln,GOVERNOR,"LAXALT, ADAM PAUL",1440
Lincoln,GOVERNOR,"SISOLAK, STEVE",266
Lincoln,GOVERNOR,"BUNDY, RYAN",179
Lincoln,GOVERNOR,NONE OF THESE CANDIDATES,37
Lincoln,GOVERNOR,"BEST, RUSSELL",16
Lincoln,GOVERNOR,"LORD, JARED",14
Lincoln,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",1327
Lincoln,LIEUTENANT GOVERNOR,"MARSHALL, KATE",323
Lincoln,LIEUTENANT GOVERNOR,"HANSEN, JANINE",167
Lincoln,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,89
Lincoln,LIEUTENANT GOVERNOR,"UEHLING, ED",30
Lincoln,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",1610
Lincoln,SECRETARY OF STATE,"ARAUJO, NELSON",239
Lincoln,SECRETARY OF STATE,NONE OF THESE CANDIDATES,89
Lincoln,STATE TREASURER,"BEERS, BOB",1514
Lincoln,STATE TREASURER,"CONINE, ZACH",262
Lincoln,STATE TREASURER,NONE OF THESE CANDIDATES,90
Lincoln,STATE TREASURER,"HOGE, BILL",73
Lincoln,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",1524
Lincoln,STATE CONTROLLER,"BYRNE, CATHERINE",312
Lincoln,STATE CONTROLLER,NONE OF THESE CANDIDATES,101
Lincoln,ATTORNEY GENERAL,"DUNCAN, WES",1491
Lincoln,ATTORNEY GENERAL,"FORD, AARON",265
Lincoln,ATTORNEY GENERAL,"HANSEN, JOEL F.",106
Lincoln,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,78
Lincoln,"STATE ASSEMBLY, DISTRICT 33","ELLISON, JOHN C. (INCUMBENT)",1182
Lincoln,"STATE ASSEMBLY, DISTRICT 36","HOF, DENNIS",462
Lincoln,"STATE ASSEMBLY, DISTRICT 36","ROMANOV, LESIA",124
Lincoln,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",681
Lincoln,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",648
Lincoln,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,492
Lincoln,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1262
Lincoln,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,482
Lincoln,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",902
Lincoln,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,467
Lincoln,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",453
Lincoln,DISTRICT ATTORNEY,"FREHNER, DYLAN V.",1758
Lincoln,COUNTY CLERK,"LLOYD, LISA (INCUMBENT)",1825
Lincoln,COUNTY TREASURER,"FREHNER, SHAWN (INCUMBENT)",1806
Lincoln,"COUNTY COMMISSIONER, DISTRICT A - UNEXPIRED TERM","BRACKENBURY, JARED (INCUMBENT)",1751
Lincoln,"COUNTY COMMISSIONER, DISTRICT B","LISTER, BEVAN",1464
Lincoln,"COUNTY COMMISSIONER, DISTRICT B","HIBBLE, RON",454
Lincoln,"COUNTY COMMISSIONER, DISTRICT D","PHILLIPS, KEVIN J. (INCUMBENT)",1656
Lincoln,COUNTY RECORDER-AUDITOR,"ELMER, AMY NICOLE",1097
Lincoln,COUNTY RECORDER-AUDITOR,"MCCLEARY, BOB",823
Lincoln,COUNTY ASSESSOR,"HOLT, MARK (INCUMBENT)",1800
Lincoln,"LINCOLN COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT B","HANSEN, CAROL J.",1256
Lincoln,"LINCOLN COUNTY SCHOOL DISTRICT TRUSTEE, DISTRICT B","HARR, CAROLYN (INCUMBENT)",576
Lincoln,"JUSTICE OF THE PEACE, MEADOW VALLEY","COWLEY, MIKE D. (INCUMBENT)",847
Lincoln,"JUSTICE OF THE PEACE, MEADOW VALLEY","CHILDERS, JEFF",524
Lincoln,SHERIFF,"LEE, KERRY D. (INCUMBENT)",1376
Lincoln,SHERIFF,"SCHIMBECK, EVAN W.",549
Lyon,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",14296
Lyon,UNITED STATES SENATOR,"ROSEN, JACKY",5526
Lyon,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,406
Lyon,UNITED STATES SENATOR,"MICHAELS, BARRY",282
Lyon,UNITED STATES SENATOR,"HAGAN, TIM",257
Lyon,UNITED STATES SENATOR,"BAKARI, KAMAU A.",157
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",11991
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",4644
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",2976
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",879
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",66
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",47
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",41
Lyon,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",40
Lyon,GOVERNOR,"LAXALT, ADAM PAUL",14211
Lyon,GOVERNOR,"SISOLAK, STEVE",5267
Lyon,GOVERNOR,"BUNDY, RYAN",551
Lyon,GOVERNOR,NONE OF THESE CANDIDATES,401
Lyon,GOVERNOR,"BEST, RUSSELL",276
Lyon,GOVERNOR,"LORD, JARED",207
Lyon,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",13245
Lyon,LIEUTENANT GOVERNOR,"MARSHALL, KATE",6093
Lyon,LIEUTENANT GOVERNOR,"HANSEN, JANINE",743
Lyon,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,475
Lyon,LIEUTENANT GOVERNOR,"UEHLING, ED",270
Lyon,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",14513
Lyon,SECRETARY OF STATE,"ARAUJO, NELSON",5648
Lyon,SECRETARY OF STATE,NONE OF THESE CANDIDATES,606
Lyon,STATE TREASURER,"BEERS, BOB",14170
Lyon,STATE TREASURER,"CONINE, ZACH",5320
Lyon,STATE TREASURER,"HOGE, BILL",634
Lyon,STATE TREASURER,NONE OF THESE CANDIDATES,624
Lyon,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",14392
Lyon,STATE CONTROLLER,"BYRNE, CATHERINE",5708
Lyon,STATE CONTROLLER,NONE OF THESE CANDIDATES,668
Lyon,ATTORNEY GENERAL,"DUNCAN, WES",14351
Lyon,ATTORNEY GENERAL,"FORD, AARON",4940
Lyon,ATTORNEY GENERAL,"HANSEN, JOEL F.",952
Lyon,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,550
Lyon,"STATE SENATE, DISTRICT 17","SETTELMEYER, JAMES ARNOLD (INCUMBENT)",14872
Lyon,"STATE SENATE, DISTRICT 17","CANNON, CURTIS W.",5737
Lyon,"STATE ASSEMBLY, DISTRICT 38","TITUS, ROBIN L. (INCUMBENT)",13034
Lyon,"STATE ASSEMBLY, DISTRICT 39","WHEELER, JIM (INCUMBENT)",3995
Lyon,"STATE ASSEMBLY, DISTRICT 39","ACKERMAN, PATRICIA",1918
Lyon,"STATE ASSEMBLY, DISTRICT 39","CWALINA, PAUL",114
Lyon,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",8214
Lyon,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",7065
Lyon,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,4151
Lyon,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",13939
Lyon,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,4809
Lyon,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",8580
Lyon,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",6848
Lyon,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,3947
Lyon,DISTRICT ATTORNEY,"RYE, STEPHEN B. (INCUMBENT)",17886
Lyon,COUNTY CLERK-TREASURER,"BRYAN, NIKKI (INCUMBENT)",18372
Lyon,COUNTY RECORDER,"KASSEBAUM, MARGIE",14833
Lyon,COUNTY RECORDER,"CULLEN, BRENDA K.",4835
Lyon,COUNTY ASSESSOR,"VILLINES, TROY R. (INCUMBENT)",18021
Lyon,"COUNTY COMMISSIONER, DISTRICT 2","KELLER, VIDA D.",17588
Lyon,"COUNTY COMMISSIONER, DISTRICT 5","HUNEWILL, GREG (INCUMBENT)",17909
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS,"JOHNSON, MATT",3114
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS,"HICKS, TERRIN",2533
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS,"MURPHY, CHRIS",2044
Lyon,NORTH LYON COUNTY FIRE PROTECTION DIRECTORS,"SEIDL, SUE",1966
Lyon,"LYON COUNTY SCHOOL DISTRICT TRUSTEES, DISTRICT 4 - SILVER SPRINGS/STAGECOACH","JONES, BARBARA JEAN",9726
Lyon,"LYON COUNTY SCHOOL DISTRICT TRUSTEES, DISTRICT 4 - SILVER SPRINGS/STAGECOACH","AVEIRO, CASSANDRA",7576
Lyon,SILVER SPRINGS/STAGECOACH HOSPITAL TRUSTEES,"MCINTOSH, KATHY",1430
Lyon,SILVER SPRINGS/STAGECOACH HOSPITAL TRUSTEES,"KENNEDY, CHARLES ""CHUCK""",1105
Lyon,SILVER SPRINGS/STAGECOACH HOSPITAL TRUSTEES,"NORRIS, ALICIA",808
Lyon,SILVER SPRINGS/STAGECOACH HOSPITAL TRUSTEES,"MONIZ, AVIS",368
Lyon,SHERIFF,"HUNEWILL, FRANK",10119
Lyon,SHERIFF,"MCNEIL, AL (INCUMBENT)",9263
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY","LACY, RAY",660
Lyon,"CITY COUNCIL, WARD 1, CITY OF FERNLEY","WHALEN, SHARI L. (INCUMBENT)",539
Lyon,"JUSTICE OF THE PEACE, WALKER RIVER TOWNSHIP","KASSEBAUM, DOUGLAS ""DOUG""",3332
Lyon,"JUSTICE OF THE PEACE, WALKER RIVER TOWNSHIP","SMITH, CARY ""RICK""",2255
Mineral,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",1056
Mineral,UNITED STATES SENATOR,"ROSEN, JACKY",570
Mineral,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,90
Mineral,UNITED STATES SENATOR,"MICHAELS, BARRY",40
Mineral,UNITED STATES SENATOR,"HAGAN, TIM",37
Mineral,UNITED STATES SENATOR,"BAKARI, KAMAU A.",17
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",1006
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",646
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",46
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",31
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",22
Mineral,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",20
Mineral,GOVERNOR,"LAXALT, ADAM PAUL",1067
Mineral,GOVERNOR,"SISOLAK, STEVE",540
Mineral,GOVERNOR,NONE OF THESE CANDIDATES,78
Mineral,GOVERNOR,"BUNDY, RYAN",64
Mineral,GOVERNOR,"BEST, RUSSELL",34
Mineral,GOVERNOR,"LORD, JARED",26
Mineral,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",904
Mineral,LIEUTENANT GOVERNOR,"MARSHALL, KATE",687
Mineral,LIEUTENANT GOVERNOR,"HANSEN, JANINE",94
Mineral,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,83
Mineral,LIEUTENANT GOVERNOR,"UEHLING, ED",32
Mineral,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",1067
Mineral,SECRETARY OF STATE,"ARAUJO, NELSON",617
Mineral,SECRETARY OF STATE,NONE OF THESE CANDIDATES,110
Mineral,STATE TREASURER,"BEERS, BOB",1036
Mineral,STATE TREASURER,"CONINE, ZACH",563
Mineral,STATE TREASURER,NONE OF THESE CANDIDATES,121
Mineral,STATE TREASURER,"HOGE, BILL",75
Mineral,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",1012
Mineral,STATE CONTROLLER,"BYRNE, CATHERINE",637
Mineral,STATE CONTROLLER,NONE OF THESE CANDIDATES,132
Mineral,ATTORNEY GENERAL,"DUNCAN, WES",1009
Mineral,ATTORNEY GENERAL,"FORD, AARON",549
Mineral,ATTORNEY GENERAL,"HANSEN, JOEL F.",130
Mineral,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,116
Mineral,"STATE SENATE, DISTRICT 14","HANSEN, IRA",1115
Mineral,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",660
Mineral,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",1143
Mineral,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",632
Mineral,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",720
Mineral,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",514
Mineral,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,482
Mineral,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",1136
Mineral,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,530
Mineral,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",747
Mineral,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",498
Mineral,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,470
Mineral,DISTRICT ATTORNEY,"ROWE, SEAN ALDEN (INCUMBENT)",1456
Mineral,PUBLIC ADMINISTRATOR,"CICHOWLAZ, BETH (INCUMBENT)",1542
Mineral,COUNTY CLERK-TREASURER,"NEPPER, CHRISTOPHER (INCUMBENT)",1529
Mineral,COUNTY ASSESSOR,"CHISUM, KEVIN B. (INCUMBENT)",1105
Mineral,COUNTY ASSESSOR,"CLARK, JANEEN",683
Mineral,COUNTY RECORDER-AUDITOR,"NIXON, CINDY",928
Mineral,COUNTY RECORDER-AUDITOR,"OBERHANSLI, DONNA",870
Mineral,COUNTY COMMISSIONER SEAT C,"HOFERER, CHRISTINE",1058
Mineral,COUNTY COMMISSIONER SEAT C,"GUSS, MICHAEL",662
Mineral,COUNTY COMMISSIONER SEAT C,"WILLIAMS, NORMAN E.",75
Mineral,MINERAL COUNTY SCHOOL BOARD TRUSTEE (INSIDE-4 YEAR TERM),"NEVILLE, KEITH E.",974
Mineral,MINERAL COUNTY SCHOOL BOARD TRUSTEE (INSIDE-4 YEAR TERM),"ZIEGLER, DAVID",736
Mineral,SHERIFF,"ADAMS, RANDY (INCUMBENT)",1142
Mineral,SHERIFF,"PERRY, EARL WILLIAM",589
Mineral,"JUSTICE OF THE PEACE, HAWTHORNE TOWNSHIP","JAMES, MIKE",926
Mineral,"JUSTICE OF THE PEACE, HAWTHORNE TOWNSHIP","REED, PAULA JOE",797
Nye,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",11395
Nye,UNITED STATES SENATOR,"ROSEN, JACKY",4887
Nye,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,435
Nye,UNITED STATES SENATOR,"HAGAN, TIM",284
Nye,UNITED STATES SENATOR,"MICHAELS, BARRY",278
Nye,UNITED STATES SENATOR,"BAKARI, KAMAU A.",221
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",11158
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",4959
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",439
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",270
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",261
Nye,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",237
Nye,GOVERNOR,"LAXALT, ADAM PAUL",11103
Nye,GOVERNOR,"SISOLAK, STEVE",4607
Nye,GOVERNOR,"BUNDY, RYAN",991
Nye,GOVERNOR,NONE OF THESE CANDIDATES,329
Nye,GOVERNOR,"BEST, RUSSELL",299
Nye,GOVERNOR,"LORD, JARED",165
Nye,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",10733
Nye,LIEUTENANT GOVERNOR,"MARSHALL, KATE",4959
Nye,LIEUTENANT GOVERNOR,"HANSEN, JANINE",898
Nye,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,526
Nye,LIEUTENANT GOVERNOR,"UEHLING, ED",315
Nye,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",12212
Nye,SECRETARY OF STATE,"ARAUJO, NELSON",4529
Nye,SECRETARY OF STATE,NONE OF THESE CANDIDATES,647
Nye,STATE TREASURER,"BEERS, BOB",11692
Nye,STATE TREASURER,"CONINE, ZACH",4597
Nye,STATE TREASURER,"HOGE, BILL",625
Nye,STATE TREASURER,NONE OF THESE CANDIDATES,482
Nye,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",11644
Nye,STATE CONTROLLER,"BYRNE, CATHERINE",5080
Nye,STATE CONTROLLER,NONE OF THESE CANDIDATES,627
Nye,ATTORNEY GENERAL,"DUNCAN, WES",11492
Nye,ATTORNEY GENERAL,"FORD, AARON",4521
Nye,ATTORNEY GENERAL,"HANSEN, JOEL F.",931
Nye,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,477
Nye,"STATE SENATE, DISTRICT 14","HANSEN, IRA",811
Nye,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",207
Nye,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",831
Nye,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",188
Nye,"STATE ASSEMBLY, DISTRICT 36","HOF, DENNIS",11166
Nye,"STATE ASSEMBLY, DISTRICT 36","ROMANOV, LESIA",5012
Nye,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",6942
Nye,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",6126
Nye,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,3461
Nye,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",11810
Nye,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,4269
Nye,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",6405
Nye,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",6402
Nye,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,3590
Nye,DISTRICT ATTORNEY,"ARABIA, CHRIS",12353
Nye,DISTRICT ATTORNEY,"DEL VECCHIO, NICHOLAS ANTHONY",4868
Nye,COUNTY ASSESSOR,"STRINGER, SHEREE (INCUMBENT)",12796
Nye,COUNTY ASSESSOR,"ALBERTI, ANDY",4150
Nye,PUBLIC ADMINISTRATOR,"STUMNE, GINGER L.",15112
Nye,COUNTY RECORDER,"BEATTY, DEBORAH (INCUMBENT)",12986
Nye,COUNTY RECORDER,"NOYES, MICHAEL S.",3855
Nye,COUNTY COMMISSIONER DISTRICT IV,"BLUNDO, LEO",2492
Nye,COUNTY COMMISSIONER DISTRICT IV,"GOLDSTEIN, RICHARD",1161
Nye,COUNTY COMMISSIONER DISTRICT V,"STRICKLAND, DEBRA",3777
Nye,COUNTY CLERK,"MERLINO, SANDRA ""SAM"" (INCUMBENT)",12796
Nye,COUNTY CLERK,"WINN, SHEILA",4155
Nye,COUNTY TREASURER,"WEBSTER, PAM",11896
Nye,COUNTY TREASURER,"SCHAUS, LANCE ROY",4902
Nye,NORTHERN NYE COUNTY HOSPITAL DISTRICT BOARD OF TRUSTEES 4 YEAR TERM,"KAMINSKI, DON",740
Nye,NORTHERN NYE COUNTY HOSPITAL DISTRICT BOARD OF TRUSTEES 4 YEAR TERM,"ZIMMERMAN, JUSTIN B.",712
Nye,NORTHERN NYE COUNTY HOSPITAL DISTRICT BOARD OF TRUSTEES 4 YEAR TERM,"KOSCIK, TIMAREE",569
Nye,NORTHERN NYE COUNTY HOSPITAL DISTRICT BOARD OF TRUSTEES 4 YEAR TERM,"CARLYLE, HORACE H.",262
Nye,COUNTY SCHOOL BOARD TRUSTEES AREA III,"OWENS, MARK",1331
Nye,COUNTY SCHOOL BOARD TRUSTEES AREA III,"RUST, DONALD E.",642
Nye,COUNTY SCHOOL BOARD TRUSTEES AREA V,"HASTINGS, SEAN C.",1913
Nye,COUNTY SCHOOL BOARD TRUSTEES AREA V,"YAZZIE, TAWNA",864
Nye,SHERIFF,"WEHRLY, SHARON A. (INCUMBENT)",8767
Nye,SHERIFF,"DEMEO, TONY",8130
Nye,"JUSTICE OF THE PEACE PAHRUMP, DEPARTMENT 1","CHAMLEE, LISA",8783
Nye,"JUSTICE OF THE PEACE PAHRUMP, DEPARTMENT 1","CARBONE, FRANK",5615
Pershing,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",1271
Pershing,UNITED STATES SENATOR,"ROSEN, JACKY",398
Pershing,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,39
Pershing,UNITED STATES SENATOR,"MICHAELS, BARRY",26
Pershing,UNITED STATES SENATOR,"HAGAN, TIM",19
Pershing,UNITED STATES SENATOR,"BAKARI, KAMAU A.",11
Pershing,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",1369
Pershing,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",377
Pershing,GOVERNOR,"LAXALT, ADAM PAUL",1255
Pershing,GOVERNOR,"SISOLAK, STEVE",360
Pershing,GOVERNOR,"BUNDY, RYAN",80
Pershing,GOVERNOR,NONE OF THESE CANDIDATES,38
Pershing,GOVERNOR,"BEST, RUSSELL",19
Pershing,GOVERNOR,"LORD, JARED",12
Pershing,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",1062
Pershing,LIEUTENANT GOVERNOR,"MARSHALL, KATE",514
Pershing,LIEUTENANT GOVERNOR,"HANSEN, JANINE",103
Pershing,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,51
Pershing,LIEUTENANT GOVERNOR,"UEHLING, ED",26
Pershing,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",1262
Pershing,SECRETARY OF STATE,"ARAUJO, NELSON",432
Pershing,SECRETARY OF STATE,NONE OF THESE CANDIDATES,61
Pershing,STATE TREASURER,"BEERS, BOB",1228
Pershing,STATE TREASURER,"CONINE, ZACH",367
Pershing,STATE TREASURER,NONE OF THESE CANDIDATES,89
Pershing,STATE TREASURER,"HOGE, BILL",64
Pershing,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",1213
Pershing,STATE CONTROLLER,"BYRNE, CATHERINE",438
Pershing,STATE CONTROLLER,NONE OF THESE CANDIDATES,101
